,year,tmID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,PPG,avg_height,avg_weight,avg_age,awards,last_two_playoff
0,1,CHA,EA,8,N,,,,Charlotte Sting,812.0,1903.0,431.0,577.0,131.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,879.0,1930.0,533.0,716.0,138.0,423.0,326.0,664.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,0,0,0,0,0,0,8.0,24.0,32,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,90963.0,Charlotte Coliseum,68.3125,71.6923076923077,168.84615384615384,25.384615384615383,0.0,0.0
1,2,CHA,EA,4,Y,W,W,L,Charlotte Sting,812.0,1903.0,431.0,577.0,131.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,879.0,1930.0,533.0,716.0,138.0,423.0,326.0,664.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,0,0,0,0,0,0,8.0,24.0,32,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,90963.0,Charlotte Coliseum,68.3125,71.5,164.41666666666666,25.583333333333332,0.0,0.0
2,3,CHA,EA,2,Y,L,,,Charlotte Sting,779.0,1841.5,420.5,552.5,142.0,407.0,307.0,634.5,941.5,509.0,659.0,219.5,485.0,102.0,2120.5,805.5,1888.0,482.0,639.0,126.0,396.0,335.0,615.5,950.5,519.5,587.5,258.0,436.5,123.5,2219.0,0,0,0,0,0,0,13.0,19.0,32,8.0,8.0,5.0,11.0,10.0,11.0,6487.5,98244.0,Charlotte Coliseum,66.265625,71.3076923076923,164.92307692307693,26.615384615384617,0.0,2.0
3,4,CHA,EA,2,Y,L,,,Charlotte Sting,758.0,1785.0,450.0,595.5,182.0,477.5,305.5,646.0,951.5,481.5,626.0,229.0,441.0,109.5,2148.0,755.0,1826.5,437.5,580.0,123.5,370.5,319.5,593.5,913.0,466.0,589.5,232.5,435.5,113.5,2071.0,0,0,0,0,0,0,18.0,14.0,32,11.0,5.0,7.0,9.0,13.5,7.5,6475.0,106097.5,Charlotte Coliseum,67.125,71.18181818181819,164.45454545454547,26.636363636363637,0.0,3.0
4,5,CHA,EA,5,N,,,,Charlotte Sting,778.5,1835.5,473.0,626.5,199.0,522.0,322.0,641.0,963.0,497.5,672.0,260.0,452.5,110.0,2229.0,784.0,1854.5,460.5,632.5,135.5,389.5,340.5,620.5,961.0,490.0,603.0,236.0,446.5,103.5,2164.0,0,0,0,0,0,0,18.0,15.0,33,12.0,4.5,6.0,10.5,12.0,10.5,6650.0,113365.5,Charlotte Coliseum,67.61856617647058,72.0,167.57142857142858,25.785714285714285,0.0,3.0
5,6,CHA,EA,6,N,,,,Charlotte Sting,766.0,1812.5,446.0,590.0,176.5,488.0,299.0,622.5,921.5,462.5,672.5,244.5,488.0,124.5,2154.5,795.0,1917.0,457.5,627.0,134.0,378.0,377.0,624.5,1001.5,503.5,600.5,253.5,453.0,109.0,2181.5,0,0,0,0,0,0,17.0,17.0,34,11.5,5.5,5.5,11.5,10.0,12.0,6875.0,118222.0,Charlotte Coliseum,63.36764705882353,72.0625,168.4375,26.1875,0.0,1.0
6,7,CHA,EA,6,N,,,,Charlotte Sting,758.5,1828.5,441.5,607.0,135.0,380.0,286.0,612.5,898.5,459.5,687.5,247.0,507.0,123.5,2093.5,825.5,1910.0,473.5,650.0,127.0,344.0,361.5,664.0,1025.5,506.0,624.5,256.0,485.5,130.0,2251.5,0,0,0,0,0,0,11.0,23.0,34,7.5,9.5,3.5,13.5,6.0,14.0,6922.5,107218.5,Time Warner Cable Arena,61.57352941176471,72.91666666666667,172.16666666666666,24.916666666666668,0.0,0.0
7,7,CHI,EA,7,N,,,,Chicago Sky,858.0,2175.0,449.0,643.0,157.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,2322.0,971.0,2147.0,545.0,736.0,200.0,536.0,379.0,860.0,1239.0,623.0,584.0,262.0,535.0,120.0,2687.0,0,0,0,0,0,0,5.0,29.0,34,3.0,14.0,2.0,15.0,4.0,16.0,6800.0,57635.0,UIC Pavilion,68.29411764705883,72.4,165.13333333333333,25.4,0.0,0.0
8,8,CHI,EA,6,N,,,,Chicago Sky,858.0,2175.0,449.0,643.0,157.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,2322.0,971.0,2147.0,545.0,736.0,200.0,536.0,379.0,860.0,1239.0,623.0,584.0,262.0,535.0,120.0,2687.0,0,0,0,0,0,0,5.0,29.0,34,3.0,14.0,2.0,15.0,4.0,16.0,6800.0,57635.0,UIC Pavilion,68.29411764705883,71.5,168.0,24.071428571428573,0.0,0.0
9,1,CLE,EA,2,Y,W,L,,Cleveland Rockers,809.0,1828.0,426.0,570.0,141.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,2185.0,774.0,1761.0,455.0,583.0,119.0,368.0,277.0,596.0,873.0,540.0,693.0,305.0,552.0,95.0,2122.0,0,0,0,0,0,0,17.0,15.0,32,13.0,3.0,4.0,12.0,13.0,8.0,6500.0,137532.0,Quicken Loans Arena,68.28125,70.92307692307692,162.84615384615384,25.53846153846154,0.0,0.0
10,2,CLE,EA,1,Y,L,,,Cleveland Rockers,809.0,1828.0,426.0,570.0,141.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,2185.0,774.0,1761.0,455.0,583.0,119.0,368.0,277.0,596.0,873.0,540.0,693.0,305.0,552.0,95.0,2122.0,0,0,0,0,0,0,17.0,15.0,32,13.0,3.0,4.0,12.0,13.0,8.0,6500.0,137532.0,Quicken Loans Arena,68.28125,71.86666666666666,170.93333333333334,24.333333333333332,0.0,2.0
11,3,CLE,EA,7,N,,,,Cleveland Rockers,786.0,1799.0,399.0,537.5,123.5,371.0,314.0,632.5,946.5,521.0,589.5,263.0,491.0,87.0,2094.5,719.0,1753.0,391.5,513.5,125.5,392.5,287.0,595.0,882.0,487.0,645.0,265.0,524.0,111.0,1955.0,0,0,0,0,0,0,19.5,12.5,32,13.5,2.5,6.0,10.0,14.0,7.0,6462.5,142452.5,Quicken Loans Arena,65.453125,71.53846153846153,168.07692307692307,24.46153846153846,0.0,3.0
12,4,CLE,EA,4,Y,L,,,Cleveland Rockers,761.5,1795.0,401.0,529.0,113.5,354.5,296.0,668.0,964.0,491.5,549.5,244.0,447.5,83.0,2037.5,730.5,1789.5,362.5,482.5,140.5,429.0,287.5,617.0,904.5,482.0,605.0,233.5,462.0,118.0,1964.0,0,0,0,0,0,0,16.0,16.0,32,9.0,7.0,7.0,9.0,11.0,10.0,6487.5,148228.5,Quicken Loans Arena,63.671875,71.72727272727273,166.0,24.818181818181817,1.0,1.0
13,4,CON,EA,3,Y,W,L,,Connecticut Sun,864.0,2102.0,479.0,646.0,177.0,549.0,333.0,762.0,1095.0,520.0,663.0,270.0,434.0,111.0,2384.0,864.0,2104.0,509.0,673.0,172.0,536.0,366.0,812.0,1178.0,553.0,669.0,252.0,476.0,88.0,2409.0,0,0,0,0,0,0,18.0,16.0,34,10.0,7.0,8.0,9.0,11.0,13.0,6875.0,102433.0,Mohegan Sun Arena,70.11764705882354,71.72727272727273,169.54545454545453,27.545454545454547,1.0,0.0
14,5,CON,EA,1,Y,W,W,L,Connecticut Sun,864.0,2102.0,479.0,646.0,177.0,549.0,333.0,762.0,1095.0,520.0,663.0,270.0,434.0,111.0,2384.0,864.0,2104.0,509.0,673.0,172.0,536.0,366.0,812.0,1178.0,553.0,669.0,252.0,476.0,88.0,2409.0,0,0,0,0,0,0,18.0,16.0,34,10.0,7.0,8.0,9.0,11.0,13.0,6875.0,102433.0,Mohegan Sun Arena,70.11764705882354,71.0909090909091,166.63636363636363,25.363636363636363,1.0,2.0
15,6,CON,EA,1,Y,W,W,W,Connecticut Sun,870.0,2076.5,456.5,618.0,163.0,508.0,327.0,743.0,1070.0,546.0,636.5,284.5,448.0,103.5,2359.5,861.0,2050.0,476.0,636.0,158.5,460.0,336.0,784.5,1120.5,559.0,648.0,245.5,484.0,100.5,2356.5,0,0,0,0,0,0,18.0,16.0,34,10.0,7.0,8.0,9.0,12.5,9.5,6887.5,108225.0,Mohegan Sun Arena,69.39705882352942,71.63636363636364,170.45454545454547,24.272727272727273,0.0,3.0
16,7,CON,EA,1,Y,W,L,,Connecticut Sun,896.0,2038.0,473.0,639.0,139.5,420.0,321.5,756.0,1077.5,572.5,617.0,267.5,457.0,113.0,2404.5,846.5,2048.0,447.5,599.0,133.5,392.0,328.0,742.5,1070.5,530.0,651.0,248.5,467.0,96.0,2274.0,0,0,0,0,0,0,22.0,12.0,34,12.0,5.0,10.0,7.0,13.5,6.5,6850.0,117980.5,Mohegan Sun Arena,70.72058823529412,71.53846153846153,171.23076923076923,24.153846153846153,1.0,3.0
17,8,CON,EA,3,Y,L,,,Connecticut Sun,949.0,2120.5,528.5,681.5,152.0,441.5,332.0,857.0,1189.0,601.5,577.0,244.0,483.0,141.5,2578.5,891.5,2228.5,405.0,549.5,142.5,454.0,360.0,755.5,1115.5,511.5,660.5,265.5,464.0,91.0,2330.5,0,0,0,0,0,0,26.0,8.0,34,14.0,3.0,12.0,5.0,14.0,6.0,6812.5,124020.0,Mohegan Sun Arena,75.83823529411765,71.75,169.25,25.083333333333332,1.0,3.0
18,1,DET,EA,5,N,,,,Detroit Shock,868.0,1980.0,519.0,699.0,76.0,273.0,341.0,644.0,985.0,503.0,701.0,260.0,530.0,88.0,2331.0,905.0,1967.0,480.0,652.0,136.0,372.0,331.0,640.0,971.0,513.0,672.0,284.0,543.0,148.0,2426.0,0,0,0,0,0,0,14.0,18.0,32,8.0,8.0,6.0,10.0,10.0,11.0,6425.0,107289.0,The Palace of Auburn Hills,72.84375,71.46153846153847,162.92307692307693,24.46153846153846,0.0,0.0
19,2,DET,EA,7,N,,,,Detroit Shock,868.0,1980.0,519.0,699.0,76.0,273.0,341.0,644.0,985.0,503.0,701.0,260.0,530.0,88.0,2331.0,905.0,1967.0,480.0,652.0,136.0,372.0,331.0,640.0,971.0,513.0,672.0,284.0,543.0,148.0,2426.0,0,0,0,0,0,0,14.0,18.0,32,8.0,8.0,6.0,10.0,10.0,11.0,6425.0,107289.0,The Palace of Auburn Hills,72.84375,71.83333333333333,164.58333333333334,25.25,0.0,0.0
20,3,DET,EA,8,N,,,,Detroit Shock,821.0,1947.0,465.5,620.5,109.5,339.0,332.5,632.5,965.0,486.0,651.5,242.5,514.0,85.0,2217.0,876.5,1902.0,463.0,617.5,131.5,356.0,305.0,671.0,976.0,475.5,631.5,273.0,513.0,128.5,2347.5,0,0,0,0,0,0,12.0,20.0,32,7.0,9.0,5.0,11.0,8.5,12.5,6487.5,108318.5,The Palace of Auburn Hills,69.28125,71.73333333333333,165.26666666666668,23.533333333333335,0.0,0.0
21,4,DET,EA,1,Y,W,W,W,Detroit Shock,770.0,1916.5,442.0,596.5,126.5,384.5,342.0,670.0,1012.0,473.5,605.5,213.0,519.5,107.0,2108.5,838.0,1910.5,455.0,594.0,136.5,393.5,296.5,685.5,982.0,451.5,614.0,269.5,463.0,124.0,2267.5,0,0,0,0,0,0,9.5,22.5,32,6.5,9.5,3.0,13.0,6.5,14.5,6500.0,101759.5,The Palace of Auburn Hills,65.890625,72.23076923076923,165.69230769230768,23.846153846153847,0.0,0.0
22,5,DET,EA,3,Y,L,,,Detroit Shock,834.0,1961.5,548.0,766.5,117.5,343.5,369.5,785.0,1154.5,511.5,607.0,232.0,574.5,145.0,2333.5,869.5,2135.0,438.0,580.5,153.5,494.0,352.0,671.5,1023.5,484.5,705.5,293.0,470.0,134.0,2330.5,0,0,0,0,0,0,17.0,16.0,33,10.0,6.5,7.0,9.5,12.0,10.5,6675.0,113909.0,The Palace of Auburn Hills,70.57536764705883,72.33333333333333,167.0,24.333333333333332,2.0,2.0
23,6,DET,EA,4,Y,L,,,Detroit Shock,888.0,2050.5,590.0,837.0,93.5,266.0,388.0,812.0,1200.0,554.5,626.5,270.0,560.5,153.0,2459.5,885.5,2192.0,441.0,582.5,176.0,537.0,357.5,702.0,1059.5,509.5,751.0,299.0,496.5,130.0,2388.0,0,0,0,0,0,0,21.0,13.0,34,10.5,6.5,10.5,6.5,14.5,7.5,6875.0,147253.5,The Palace of Auburn Hills,72.33823529411765,71.86666666666666,166.53333333333333,25.933333333333334,2.0,3.0
24,7,DET,EA,2,Y,W,W,W,Detroit Shock,852.5,2078.5,532.5,783.0,69.0,223.5,404.5,788.0,1192.5,519.0,704.5,259.0,542.0,151.5,2306.5,822.0,2021.5,517.5,681.5,172.5,494.5,299.0,737.5,1036.5,494.0,736.0,280.5,508.0,133.5,2334.0,0,0,0,0,0,0,16.5,17.5,34,10.0,7.0,6.5,10.5,11.0,9.0,6887.5,160108.0,The Palace of Auburn Hills,67.83823529411765,72.46153846153847,170.0,25.46153846153846,2.0,3.0
25,8,DET,EA,1,Y,W,W,L,Detroit Shock,875.0,2140.0,531.0,760.0,106.0,326.0,409.0,841.5,1250.5,523.0,736.0,227.0,554.0,146.0,2387.0,812.0,2055.0,547.0,728.0,164.5,508.5,298.5,752.5,1051.0,473.5,738.5,273.5,513.0,122.0,2335.5,0,0,0,0,0,0,19.5,14.5,34,13.0,4.0,6.5,10.5,12.5,7.5,6875.0,159404.5,The Palace of Auburn Hills,70.20588235294119,72.23076923076923,170.15384615384616,26.76923076923077,3.0,3.0
26,1,HOU,WE,2,Y,W,W,W,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,440.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,0,0,0,0,0,0,27.0,5.0,32,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,77.34375,72.08333333333333,167.91666666666666,28.25,0.0,0.0
27,2,HOU,WE,4,Y,L,,,Houston Comets,891.0,1894.0,521.0,634.0,172.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,440.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,290.0,612.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,0,0,0,0,0,0,27.0,5.0,32,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,Compaq Center,77.34375,71.9090909090909,167.63636363636363,27.0,1.0,2.0
28,3,HOU,WE,2,Y,L,,,Houston Comets,819.0,1901.0,468.0,586.5,155.0,463.0,310.5,717.0,1027.5,460.0,531.5,267.5,438.0,99.5,2261.0,763.0,1910.5,366.0,506.0,138.0,437.0,293.5,648.5,942.0,462.5,604.5,240.5,456.5,102.5,2030.0,0,0,0,0,0,0,23.0,9.0,32,12.5,3.5,10.5,5.5,15.0,6.0,6462.5,188596.0,Compaq Center,70.65625,71.35714285714286,160.57142857142858,27.0,4.0,3.0
29,4,HOU,WE,2,Y,L,,,Houston Comets,751.0,1843.0,434.0,562.0,123.5,383.5,323.5,706.0,1029.5,438.0,488.0,255.5,445.5,110.5,2059.5,722.5,1881.5,346.5,478.0,151.5,472.5,303.0,674.5,977.5,449.0,583.5,255.0,448.5,95.5,1943.0,0,0,0,0,0,0,21.5,10.5,32,12.5,3.5,9.0,7.0,14.5,6.5,6437.5,184881.5,Compaq Center,64.359375,71.66666666666667,162.33333333333334,27.5,7.0,3.0
30,5,HOU,WE,6,N,,,,Houston Comets,791.5,1847.0,463.0,592.5,112.0,338.0,282.5,733.0,1015.5,457.5,478.5,245.5,452.5,127.5,2158.0,764.5,1955.0,328.0,450.0,160.0,494.5,303.5,686.0,989.5,481.0,620.0,244.5,447.0,96.5,2017.0,0,0,0,0,0,0,22.0,11.0,33,14.0,2.5,8.0,8.5,15.0,7.5,6625.0,169425.5,Toyota Center,65.375,72.0,161.6153846153846,26.76923076923077,7.0,3.0
31,6,HOU,WE,3,Y,W,L,,Houston Comets,813.0,1924.5,465.5,607.5,119.0,351.0,288.5,744.0,1032.5,458.0,522.5,236.5,467.0,118.0,2210.5,829.0,2019.0,358.0,489.5,160.5,467.0,316.5,714.0,1030.5,527.5,644.5,242.5,450.5,125.5,2176.5,0,0,0,0,0,0,16.5,17.5,34,11.5,5.5,5.0,12.0,10.5,12.5,6837.5,143829.0,Toyota Center,65.01470588235294,71.5,157.14285714285714,28.428571428571427,9.0,1.0
32,7,HOU,WE,3,Y,L,,,Houston Comets,829.0,1926.5,492.5,652.5,92.5,281.5,293.5,704.0,997.5,459.0,568.0,244.0,454.5,106.0,2243.0,841.0,1976.0,405.0,545.0,150.0,428.5,304.5,703.5,1008.0,540.0,670.0,227.5,476.0,120.0,2237.0,0,0,0,0,0,0,16.0,18.0,34,10.0,7.0,6.0,11.0,9.0,13.0,6862.5,129065.5,Toyota Center,65.97058823529412,71.76923076923077,162.92307692307693,28.53846153846154,10.0,2.0
33,8,HOU,WE,5,N,,,,Houston Comets,894.0,2009.0,504.5,684.0,115.5,338.5,289.5,753.0,1042.5,499.5,599.0,249.0,495.5,94.5,2408.0,888.0,2088.0,432.0,587.0,148.0,459.5,305.5,737.0,1042.5,533.5,695.0,247.5,500.0,100.0,2356.0,0,0,0,0,0,0,18.5,15.5,34,11.5,5.5,7.0,10.0,11.0,10.0,6900.0,125631.0,Toyota Center,70.8235294117647,71.4,160.86666666666667,26.733333333333334,12.0,3.0
34,1,IND,EA,7,N,,,,Indiana Fever,796.0,1838.0,428.0,569.0,193.0,521.0,285.0,647.0,932.0,501.0,642.0,271.0,518.0,126.0,2213.0,839.0,1868.0,503.0,669.0,109.0,358.0,321.0,633.0,954.0,528.0,612.0,267.0,476.0,75.0,2290.0,0,0,0,0,0,0,9.0,23.0,32,5.0,11.0,4.0,12.0,7.0,14.0,6425.0,180270.0,Conseco Fieldhouse,69.15625,72.33333333333333,168.0,25.533333333333335,0.0,0.0
35,2,IND,EA,6,N,,,,Indiana Fever,796.0,1838.0,428.0,569.0,193.0,521.0,285.0,647.0,932.0,501.0,642.0,271.0,518.0,126.0,2213.0,839.0,1868.0,503.0,669.0,109.0,358.0,321.0,633.0,954.0,528.0,612.0,267.0,476.0,75.0,2290.0,0,0,0,0,0,0,9.0,23.0,32,5.0,11.0,4.0,12.0,7.0,14.0,6425.0,180270.0,Conseco Fieldhouse,69.15625,71.92307692307692,166.76923076923077,24.923076923076923,0.0,0.0
36,3,IND,EA,4,Y,L,,,Indiana Fever,779.0,1830.0,450.0,580.0,175.0,483.5,285.5,648.0,933.5,479.5,621.0,256.5,504.5,122.0,2183.0,846.0,1883.5,457.5,626.0,120.0,362.5,313.5,646.5,960.0,546.5,614.0,261.5,471.0,107.5,2269.5,0,0,0,0,0,0,9.5,22.5,32,6.0,10.0,3.5,12.5,7.0,14.0,6450.0,159596.0,Conseco Fieldhouse,68.21875,71.15384615384616,165.76923076923077,25.076923076923077,0.0,0.0
37,4,IND,EA,5,N,,,,Indiana Fever,746.5,1823.5,463.5,585.5,168.5,494.5,300.5,641.0,941.5,452.5,579.5,255.0,464.5,109.0,2125.0,828.5,1858.0,385.5,543.0,146.5,415.5,297.0,652.0,949.0,536.0,631.5,241.0,468.0,142.5,2189.0,0,0,0,0,0,0,13.0,19.0,32,8.5,7.5,4.5,11.5,9.5,11.5,6450.0,136933.5,Conseco Fieldhouse,66.40625,71.3076923076923,164.23076923076923,26.615384615384617,1.0,2.0
38,5,IND,EA,6,N,,,,Indiana Fever,785.0,1918.0,452.0,571.5,195.0,571.5,324.5,643.5,968.0,493.0,613.5,283.5,456.0,110.5,2217.0,820.5,1862.5,424.5,570.5,159.5,442.5,298.5,660.5,959.0,538.5,639.0,226.5,491.0,157.5,2225.0,0,0,0,0,0,0,16.0,17.0,33,10.5,6.0,5.5,11.0,12.0,10.5,6650.0,138361.5,Conseco Fieldhouse,67.13327205882354,72.58333333333333,169.41666666666666,25.666666666666668,1.0,1.0
39,6,IND,EA,2,Y,W,L,,Indiana Fever,815.0,2011.0,449.5,571.5,188.0,540.5,365.0,679.5,1044.5,547.0,653.5,280.0,480.0,127.5,2267.5,820.5,1886.5,503.0,666.5,139.0,386.5,295.0,682.5,977.5,542.0,617.0,247.5,489.0,166.0,2283.0,0,0,0,0,0,0,15.5,18.5,34,10.5,6.5,5.0,12.0,10.0,12.0,6862.5,135383.5,Conseco Fieldhouse,66.69117647058823,71.66666666666667,168.0,25.916666666666668,2.0,0.0
40,7,IND,EA,3,Y,L,,,Indiana Fever,787.5,1984.5,451.0,587.5,158.0,474.5,368.5,688.0,1056.5,524.0,653.5,298.5,481.5,114.5,2184.0,789.5,1831.5,488.0,668.5,122.0,359.5,280.0,699.5,979.5,474.5,623.5,251.0,512.0,137.5,2189.0,0,0,0,0,0,0,18.0,16.0,34,12.0,5.0,6.0,11.0,11.0,9.0,6887.5,135741.5,Conseco Fieldhouse,64.23529411764706,71.66666666666667,169.66666666666666,26.166666666666668,2.0,2.0
41,8,IND,EA,2,Y,W,L,,Indiana Fever,828.5,2051.0,485.0,635.5,160.5,509.5,340.0,713.0,1053.0,497.0,637.0,345.0,502.5,94.0,2302.5,829.0,1920.5,436.5,600.5,130.0,405.5,283.5,742.0,1025.5,471.0,664.5,246.5,587.5,109.0,2224.5,0,0,0,0,0,0,21.0,13.0,34,13.0,4.0,8.0,9.0,13.0,7.0,6887.5,132631.0,Conseco Fieldhouse,67.72058823529412,72.58333333333333,175.16666666666666,26.583333333333332,4.0,3.0
42,1,LAS,WE,1,Y,W,L,,Los Angeles Sparks,861.0,1956.0,545.0,693.0,150.0,452.0,308.0,783.0,1091.0,586.0,705.0,271.0,466.0,156.0,2417.0,776.0,1963.0,495.0,692.0,122.0,413.0,300.0,678.0,978.0,445.0,650.0,243.0,485.0,105.0,2169.0,0,0,0,0,0,0,28.0,4.0,32,15.0,1.0,13.0,3.0,17.0,4.0,6450.0,105005.0,Staples Center,75.53125,72.63636363636364,165.0909090909091,23.818181818181817,0.0,0.0
43,2,LAS,WE,1,Y,W,W,W,Los Angeles Sparks,861.0,1956.0,545.0,693.0,150.0,452.0,308.0,783.0,1091.0,586.0,705.0,271.0,466.0,156.0,2417.0,776.0,1963.0,495.0,692.0,122.0,413.0,300.0,678.0,978.0,445.0,650.0,243.0,485.0,105.0,2169.0,0,0,0,0,0,0,28.0,4.0,32,15.0,1.0,13.0,3.0,17.0,4.0,6450.0,105005.0,Staples Center,75.53125,70.9090909090909,163.1818181818182,25.272727272727273,0.0,2.0
44,3,LAS,WE,1,Y,W,W,W,Los Angeles Sparks,888.5,1993.5,497.0,643.5,155.0,444.0,329.0,769.0,1098.0,591.0,660.5,276.0,452.0,147.0,2429.0,777.5,1974.0,455.5,619.5,157.0,508.0,297.0,652.5,949.5,491.5,620.5,238.5,469.0,109.5,2167.5,0,0,0,0,0,0,28.0,4.0,32,15.5,0.5,12.5,3.5,18.0,3.0,6462.5,126725.5,Staples Center,75.90625,72.76923076923077,170.07692307692307,27.0,3.0,3.0
45,4,LAS,WE,1,Y,W,W,L,Los Angeles Sparks,903.5,2016.5,462.5,619.5,177.0,475.5,339.5,784.5,1124.0,589.5,640.0,269.0,477.5,149.5,2446.5,787.5,2012.5,448.0,598.0,177.5,562.0,304.0,636.0,940.0,523.0,607.0,254.5,453.0,112.5,2200.5,0,0,0,0,0,0,26.5,5.5,32,14.0,2.0,12.5,3.5,18.0,3.0,6475.0,167428.0,Staples Center,76.453125,72.33333333333333,172.33333333333334,27.6,6.0,3.0
