,year,tmID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,PPG,avg_height,avg_weight,avg_age,awards,last_two_playoff
46,5,LAS,WE,1,Y,L,,,Los Angeles Sparks,892.5,2071.0,506.5,661.5,184.0,521.5,332.5,813.5,1146.0,585.0,673.0,249.5,493.5,161.0,2475.5,831.0,2093.5,492.0,675.5,179.5,530.5,315.0,717.0,1032.0,540.0,638.5,258.0,460.5,119.0,2333.5,0,0,0,0,0,0,24.5,8.5,33,11.5,5.0,13.0,3.5,17.0,5.5,6687.5,172172.0,Staples Center,75.0625,72.15384615384616,172.15384615384616,25.923076923076923,6.0,3.0
47,6,LAS,WE,4,Y,L,,,Los Angeles Sparks,899.0,2104.5,533.5,700.0,165.5,471.0,324.0,811.0,1135.0,606.5,706.5,252.0,499.5,154.5,2497.0,840.5,2121.0,530.5,731.5,185.0,525.5,327.5,758.0,1085.5,552.0,679.0,264.5,495.5,120.5,2396.5,0,0,0,0,0,0,24.5,9.5,34,13.0,4.0,11.5,5.5,16.5,6.5,6937.5,167601.5,Staples Center,73.44117647058823,72.35714285714286,168.21428571428572,25.928571428571427,8.0,3.0
48,7,LAS,WE,1,Y,W,L,,Los Angeles Sparks,888.5,2055.5,493.0,676.0,140.5,400.5,316.5,746.0,1062.5,588.5,734.0,263.0,510.5,142.0,2410.5,816.5,2025.0,542.0,735.0,178.0,515.0,335.5,718.0,1053.5,549.5,679.0,267.5,533.5,114.5,2353.0,0,0,0,0,0,0,21.0,13.0,34,13.0,4.0,8.0,9.0,14.0,8.0,6887.5,163895.0,Staples Center,70.8970588235294,72.64285714285714,170.57142857142858,25.285714285714285,8.0,3.0
49,8,LAS,WE,7,N,,,,Los Angeles Sparks,917.5,2118.5,498.0,678.0,117.5,382.0,335.5,767.5,1103.0,580.5,708.0,280.0,513.0,132.5,2450.5,845.5,2069.5,530.5,715.0,189.0,544.5,334.0,727.5,1061.5,566.0,645.0,265.5,550.0,121.5,2410.5,0,0,0,0,0,0,21.0,13.0,34,13.0,4.0,8.0,9.0,13.5,7.5,6812.5,145901.5,Staples Center,72.0735294117647,72.6,164.4,25.666666666666668,3.0,3.0
50,1,MIA,EA,6,N,,,,Miami Sol,647.0,1774.0,452.0,664.0,85.0,310.0,365.0,595.0,960.0,415.0,707.0,272.0,524.0,88.0,1831.0,715.0,1676.0,454.0,627.0,117.0,315.0,275.0,648.0,923.0,416.0,661.0,247.0,528.0,118.0,2001.0,0,0,0,0,0,0,13.0,19.0,32,9.0,7.0,4.0,12.0,9.0,12.0,6475.0,127721.0,AmericanAirlines Arena,57.21875,71.53846153846153,162.30769230769232,25.0,0.0,0.0
51,2,MIA,EA,3,Y,L,,,Miami Sol,647.0,1774.0,452.0,664.0,85.0,310.0,365.0,595.0,960.0,415.0,707.0,272.0,524.0,88.0,1831.0,715.0,1676.0,454.0,627.0,117.0,315.0,275.0,648.0,923.0,416.0,661.0,247.0,528.0,118.0,2001.0,0,0,0,0,0,0,13.0,19.0,32,9.0,7.0,4.0,12.0,9.0,12.0,6475.0,127721.0,AmericanAirlines Arena,57.21875,71.91666666666667,160.33333333333334,26.25,0.0,0.0
52,3,MIA,EA,6,N,,,,Miami Sol,700.5,1800.0,404.0,566.5,89.0,302.5,328.5,623.0,951.5,441.0,654.5,286.0,486.0,120.5,1894.0,697.0,1700.5,437.0,607.5,118.5,355.0,288.0,657.5,945.5,402.0,599.5,253.0,520.0,102.5,1949.5,0,0,0,0,0,0,16.5,15.5,32,9.5,6.5,7.0,9.0,11.5,9.5,6525.0,134719.0,AmericanAirlines Arena,59.1875,72.2,163.93333333333334,25.733333333333334,2.0,2.0
53,1,MIN,WE,6,N,,,,Minnesota Lynx,770.0,1831.0,449.0,592.0,204.0,571.0,258.0,612.0,870.0,495.0,690.0,237.0,497.0,63.0,2193.0,755.0,1758.0,514.0,702.0,164.0,481.0,300.0,677.0,977.0,472.0,707.0,275.0,547.0,130.0,2188.0,0,0,0,0,0,0,15.0,17.0,32,8.0,8.0,7.0,9.0,5.0,16.0,6425.0,116638.0,Target Center,68.53125,70.76923076923077,167.46153846153845,24.53846153846154,0.0,0.0
54,2,MIN,WE,6,N,,,,Minnesota Lynx,770.0,1831.0,449.0,592.0,204.0,571.0,258.0,612.0,870.0,495.0,690.0,237.0,497.0,63.0,2193.0,755.0,1758.0,514.0,702.0,164.0,481.0,300.0,677.0,977.0,472.0,707.0,275.0,547.0,130.0,2188.0,0,0,0,0,0,0,15.0,17.0,32,8.0,8.0,7.0,9.0,5.0,16.0,6425.0,116638.0,Target Center,68.53125,72.25,173.33333333333334,23.75,1.0,0.0
55,3,MIN,WE,8,N,,,,Minnesota Lynx,720.5,1820.5,504.0,659.5,190.0,561.5,283.0,652.5,935.5,466.0,692.5,223.5,502.0,95.0,2135.0,753.5,1842.5,506.5,663.0,158.5,476.5,314.0,682.5,996.5,491.5,713.0,267.0,508.5,128.0,2172.0,0,0,0,0,0,0,13.5,18.5,32,7.0,9.0,6.5,9.5,7.0,14.0,6450.0,118622.5,Target Center,66.71875,72.0,173.58333333333334,24.083333333333332,1.0,0.0
56,4,MIN,WE,4,Y,L,,,Minnesota Lynx,699.0,1792.5,471.0,652.5,171.0,526.0,308.5,671.5,980.0,451.5,656.0,218.0,518.0,114.5,2040.0,749.5,1867.0,484.0,618.5,147.0,430.5,315.0,650.0,965.0,503.0,668.5,266.0,467.5,121.5,2130.0,0,0,0,0,0,0,11.0,21.0,32,6.5,9.5,4.5,11.5,7.5,13.5,6475.0,130240.5,Target Center,63.75,72.54545454545455,169.1818181818182,25.545454545454547,0.0,0.0
57,5,MIN,WE,3,Y,L,,,Minnesota Lynx,801.0,1876.5,416.5,601.0,173.0,512.0,335.0,684.0,1019.0,523.0,625.5,234.0,543.5,101.5,2191.5,812.5,1937.0,471.0,623.0,141.0,417.5,319.5,632.0,951.5,511.5,642.0,272.0,468.0,121.5,2237.0,0,0,0,0,0,0,14.0,19.0,33,9.0,7.5,5.0,11.5,10.0,12.5,6662.5,130063.5,Target Center,66.296875,73.0,175.16666666666666,25.083333333333332,0.0,2.0
58,6,MIN,WE,6,N,,,,Minnesota Lynx,821.0,1939.0,452.0,632.0,178.5,533.0,346.5,721.0,1067.5,553.0,647.0,249.5,585.5,120.0,2272.5,841.0,2019.5,481.5,651.0,116.5,388.0,330.0,682.5,1012.5,518.0,671.0,302.0,486.5,129.5,2280.0,0,0,0,0,0,0,18.0,16.0,34,11.0,6.0,7.0,10.0,13.0,10.0,6850.0,122675.0,Target Center,66.83823529411765,71.33333333333333,166.66666666666666,24.066666666666666,0.0,3.0
59,7,MIN,WE,7,N,,,,Minnesota Lynx,784.0,1923.0,445.5,620.5,174.5,517.0,321.0,719.5,1040.5,528.5,642.0,257.5,574.5,133.0,2188.0,833.0,1995.5,462.5,630.5,110.5,353.0,333.5,712.0,1045.5,522.5,670.5,304.0,494.5,138.5,2239.0,0,0,0,0,0,0,16.0,18.0,34,11.0,6.0,5.0,12.0,10.5,11.5,6850.0,119272.0,Target Center,64.3529411764706,72.0,170.0909090909091,23.454545454545453,0.0,1.0
60,8,MIN,WE,6,N,,,,Minnesota Lynx,873.0,2078.5,461.0,641.0,160.0,455.5,325.0,759.5,1084.5,511.0,639.0,225.5,533.0,120.0,2367.0,933.0,2166.5,491.5,655.5,154.0,459.0,358.0,771.5,1129.5,581.0,649.0,291.5,462.5,134.0,2511.5,0,0,0,0,0,0,12.0,22.0,34,9.5,7.5,2.5,14.5,7.5,13.5,6837.5,111484.5,Target Center,69.61764705882354,71.41666666666667,162.5,23.0,1.0,0.0
61,1,NYL,EA,1,Y,W,W,L,New York Liberty,792.0,1815.0,429.0,567.0,135.0,396.0,288.0,652.0,940.0,477.0,617.0,246.0,474.0,102.0,2148.0,741.0,1822.0,437.0,590.0,116.0,420.0,320.0,647.0,967.0,462.0,645.0,223.0,479.0,94.0,2035.0,0,0,0,0,0,0,20.0,12.0,32,12.0,4.0,8.0,8.0,14.0,7.0,6425.0,231962.0,Madison Square Garden (IV),67.125,72.23076923076923,179.3846153846154,26.076923076923077,0.0,0.0
62,2,NYL,EA,2,Y,W,L,,New York Liberty,792.0,1815.0,429.0,567.0,135.0,396.0,288.0,652.0,940.0,477.0,617.0,246.0,474.0,102.0,2148.0,741.0,1822.0,437.0,590.0,116.0,420.0,320.0,647.0,967.0,462.0,645.0,223.0,479.0,94.0,2035.0,0,0,0,0,0,0,20.0,12.0,32,12.0,4.0,8.0,8.0,14.0,7.0,6425.0,231962.0,Madison Square Garden (IV),67.125,71.6,169.13333333333333,26.066666666666666,1.0,2.0
63,3,NYL,EA,1,Y,W,W,L,New York Liberty,812.5,1821.5,382.5,533.5,147.5,408.5,271.5,656.0,927.5,515.0,616.5,255.5,455.5,92.0,2155.0,742.5,1790.5,449.0,615.0,124.5,407.0,312.0,663.0,975.0,446.0,622.5,223.0,487.5,85.0,2058.5,0,0,0,0,0,0,20.5,11.5,32,12.5,3.5,8.0,8.0,13.5,7.5,6412.5,241263.5,Madison Square Garden (IV),67.34375,72.0909090909091,171.72727272727272,26.727272727272727,2.0,3.0
64,4,NYL,EA,6,N,,,,New York Liberty,802.5,1784.0,368.0,533.5,152.5,410.5,257.5,635.0,892.5,524.5,627.0,263.0,447.5,91.0,2125.5,717.5,1746.0,472.5,642.5,141.0,414.0,308.0,664.0,972.0,420.0,598.5,225.5,487.0,82.0,2048.5,0,0,0,0,0,0,19.5,12.5,32,11.5,4.5,8.0,8.0,12.0,9.0,6425.0,242641.0,Madison Square Garden (IV),66.421875,71.66666666666667,169.91666666666666,26.333333333333332,1.0,3.0
65,5,NYL,EA,2,Y,W,L,,New York Liberty,798.5,1831.5,406.0,552.0,163.0,450.0,265.5,648.0,913.5,511.5,612.5,261.5,464.0,114.0,2166.0,756.0,1846.0,471.5,613.0,152.0,450.5,319.0,692.5,1011.5,458.0,605.5,248.5,479.0,92.0,2135.5,0,0,0,0,0,0,17.0,16.0,33,10.5,6.0,6.5,10.0,11.0,11.5,6650.0,223531.5,Madison Square Garden (IV),65.62591911764706,72.08333333333333,168.83333333333334,26.083333333333332,1.0,1.0
66,6,NYL,EA,3,Y,L,,,New York Liberty,822.0,1927.5,405.0,534.0,198.5,558.5,267.0,713.5,980.5,533.0,587.0,235.5,488.0,126.0,2247.5,844.0,2027.5,445.0,580.0,143.5,441.5,348.5,733.0,1081.5,511.5,601.5,278.5,455.0,109.5,2276.5,0,0,0,0,0,0,17.0,17.0,34,11.0,6.0,6.0,11.0,10.5,11.5,6875.0,190204.0,Madison Square Garden (IV),66.10294117647058,71.93333333333334,167.4,25.333333333333332,0.0,2.0
67,7,NYL,EA,5,N,,,,New York Liberty,823.5,1896.0,425.0,541.5,212.0,611.0,252.5,736.5,989.0,518.5,600.0,211.5,484.0,118.0,2284.0,863.0,2054.0,436.5,593.5,128.5,407.0,358.0,707.5,1065.5,495.0,589.5,281.5,420.5,104.5,2291.0,0,0,0,0,0,0,18.0,16.0,34,10.5,6.5,7.5,9.5,9.5,10.5,6912.5,170221.5,Madison Square Garden (IV),67.1764705882353,72.21428571428571,160.5,24.071428571428573,0.0,3.0
68,8,NYL,EA,4,Y,L,,,New York Liberty,825.0,1964.5,482.0,601.0,212.0,625.0,263.5,734.0,997.5,486.5,643.5,233.0,519.0,112.0,2344.0,912.5,2082.5,497.5,665.0,148.0,429.5,343.0,758.5,1101.5,490.5,629.0,272.5,448.0,110.0,2470.5,0,0,0,0,0,0,14.5,19.5,34,8.5,8.5,6.0,11.0,8.0,12.0,6900.0,163714.5,Madison Square Garden (IV),68.94117647058823,72.35714285714286,173.21428571428572,23.571428571428573,0.0,1.0
69,1,ORL,EA,3,Y,L,,,Orlando Miracle,833.0,1911.0,397.0,546.0,145.0,424.0,319.0,606.0,925.0,473.0,583.0,255.0,486.0,130.0,2208.0,851.0,1964.0,378.0,495.0,153.0,450.0,348.0,669.0,1017.0,536.0,637.0,264.0,500.0,108.0,2233.0,0,0,0,0,0,0,16.0,16.0,32,11.0,5.0,5.0,11.0,13.0,8.0,6500.0,117810.0,Amway Arena,69.0,71.15384615384616,166.76923076923077,25.923076923076923,0.0,0.0
70,2,ORL,EA,5,N,,,,Orlando Miracle,833.0,1911.0,397.0,546.0,145.0,424.0,319.0,606.0,925.0,473.0,583.0,255.0,486.0,130.0,2208.0,851.0,1964.0,378.0,495.0,153.0,450.0,348.0,669.0,1017.0,536.0,637.0,264.0,500.0,108.0,2233.0,0,0,0,0,0,0,16.0,16.0,32,11.0,5.0,5.0,11.0,13.0,8.0,6500.0,117810.0,Amway Arena,69.0,72.16666666666667,174.58333333333334,25.166666666666668,0.0,2.0
71,3,ORL,EA,5,N,,,,Orlando Miracle,800.5,1912.5,413.5,566.5,159.5,478.0,337.5,610.0,947.5,462.5,613.0,287.5,509.0,127.5,2174.0,828.5,1897.5,407.0,550.0,155.0,444.0,332.0,664.0,996.0,535.0,618.5,281.0,523.0,111.0,2219.0,0,0,0,0,0,0,14.5,17.5,32,10.5,5.5,4.0,12.0,11.0,10.0,6475.0,118342.0,Amway Arena,67.9375,72.5,173.64285714285714,26.071428571428573,0.0,1.0
72,1,PHO,WE,4,Y,L,,,Phoenix Mercury,803.0,1800.0,513.0,661.0,124.0,394.0,275.0,619.0,894.0,465.0,630.0,285.0,429.0,91.0,2243.0,773.0,1828.0,421.0,574.0,135.0,416.0,334.0,635.0,969.0,486.0,699.0,224.0,531.0,91.0,2102.0,0,0,0,0,0,0,20.0,12.0,32,11.0,5.0,9.0,7.0,11.0,10.0,6425.0,161075.0,US Airways Center,70.09375,72.21428571428571,165.5,26.285714285714285,0.0,0.0
73,2,PHO,WE,5,N,,,,Phoenix Mercury,803.0,1800.0,513.0,661.0,124.0,394.0,275.0,619.0,894.0,465.0,630.0,285.0,429.0,91.0,2243.0,773.0,1828.0,421.0,574.0,135.0,416.0,334.0,635.0,969.0,486.0,699.0,224.0,531.0,91.0,2102.0,0,0,0,0,0,0,20.0,12.0,32,11.0,5.0,9.0,7.0,11.0,10.0,6425.0,161075.0,US Airways Center,70.09375,71.5,159.66666666666666,25.666666666666668,0.0,2.0
74,3,PHO,WE,7,N,,,,Phoenix Mercury,785.0,1847.0,471.0,624.0,112.5,353.5,287.5,630.5,918.0,489.5,627.5,288.5,474.0,114.5,2153.5,779.0,1860.0,441.5,579.0,136.0,403.5,333.5,666.5,1000.0,505.0,651.0,253.5,524.0,109.0,2135.5,0,0,0,0,0,0,16.5,15.5,32,10.5,5.5,6.0,10.0,9.5,11.5,6437.5,149027.0,US Airways Center,67.296875,73.06666666666666,165.26666666666668,25.066666666666666,0.0,1.0
75,4,PHO,WE,7,N,,,,Phoenix Mercury,780.0,1891.5,417.0,562.5,100.5,320.5,296.0,634.0,930.0,470.5,624.0,279.5,510.0,116.0,2077.5,817.5,1881.0,449.0,596.0,146.0,389.5,321.0,695.0,1016.0,528.0,601.5,275.5,504.0,127.0,2230.0,0,0,0,0,0,0,12.0,20.0,32,10.0,6.0,2.0,14.0,7.5,13.5,6425.0,138388.5,US Airways Center,64.921875,71.57142857142857,160.52380952380952,23.952380952380953,0.0,0.0
76,5,PHO,WE,5,N,,,,Phoenix Mercury,797.0,1992.0,392.0,547.0,108.0,338.5,324.5,634.5,959.0,444.0,643.5,288.5,490.0,102.5,2094.0,842.0,1868.5,451.0,617.0,145.5,379.5,306.0,751.5,1057.5,520.5,633.5,271.5,550.5,136.5,2280.5,0,0,0,0,0,0,9.5,23.5,33,8.0,8.5,1.5,15.0,6.0,16.5,6662.5,142154.5,US Airways Center,63.51011029411765,73.35714285714286,172.0,23.928571428571427,0.0,0.0
77,6,PHO,WE,5,N,,,,Phoenix Mercury,813.5,2008.5,417.5,577.0,154.0,434.0,310.5,647.5,958.0,481.0,706.0,296.0,471.5,124.0,2198.5,809.0,1856.0,500.0,675.0,134.5,359.5,306.0,761.0,1067.0,482.5,663.5,250.5,573.0,141.5,2252.5,0,0,0,0,0,0,12.5,21.5,34,8.0,9.0,4.5,12.5,8.0,15.0,6875.0,140403.0,US Airways Center,64.66176470588235,73.06666666666666,170.86666666666667,24.666666666666668,1.0,0.0
78,7,PHO,WE,5,N,,,,Phoenix Mercury,826.0,1958.0,493.5,645.5,185.0,529.0,303.0,686.0,989.0,525.0,722.5,262.5,490.5,158.0,2330.5,819.5,1919.0,528.5,722.0,127.0,340.0,314.0,708.0,1022.0,463.0,666.0,245.5,509.5,124.5,2294.5,0,0,0,0,0,0,16.5,17.5,34,10.5,6.5,6.0,11.0,11.5,10.5,6812.5,130220.5,US Airways Center,68.54411764705881,71.875,160.375,24.8125,2.0,0.0
79,8,PHO,WE,1,Y,W,W,W,Phoenix Mercury,952.5,2214.0,534.0,688.5,221.5,630.5,338.0,765.5,1103.5,594.5,719.0,259.0,479.5,153.0,2660.5,939.0,2176.5,576.5,786.0,162.0,475.0,363.5,790.0,1153.5,524.0,670.5,248.0,510.0,119.0,2616.5,0,0,0,0,0,0,17.0,17.0,34,10.5,6.5,6.5,10.5,10.0,11.0,6850.0,125473.5,US Airways Center,78.25,72.15384615384616,166.0,25.923076923076923,3.0,0.0
80,1,POR,WE,7,N,,,,Portland Fire,761.0,1828.0,488.0,697.0,145.0,433.0,309.0,627.0,936.0,480.0,761.0,265.0,593.0,93.0,2155.0,788.0,1847.0,577.0,766.0,150.0,447.0,307.0,646.0,953.0,487.0,729.0,277.0,531.0,130.0,2303.0,0,0,0,0,0,0,10.0,22.0,32,6.0,10.0,4.0,12.0,4.0,17.0,6525.0,133076.0,Rose Garden Arena,67.34375,72.16666666666667,167.41666666666666,24.333333333333332,0.0,0.0
81,2,POR,WE,7,N,,,,Portland Fire,761.0,1828.0,488.0,697.0,145.0,433.0,309.0,627.0,936.0,480.0,761.0,265.0,593.0,93.0,2155.0,788.0,1847.0,577.0,766.0,150.0,447.0,307.0,646.0,953.0,487.0,729.0,277.0,531.0,130.0,2303.0,0,0,0,0,0,0,10.0,22.0,32,6.0,10.0,4.0,12.0,4.0,17.0,6525.0,133076.0,Rose Garden Arena,67.34375,71.61538461538461,169.3846153846154,24.76923076923077,0.0,0.0
82,3,POR,WE,5,N,,,,Portland Fire,747.0,1859.5,469.0,654.5,158.5,476.0,304.5,661.5,966.0,465.5,697.0,254.5,546.5,99.5,2121.5,789.5,1895.5,519.0,711.0,154.5,428.5,325.0,704.5,1029.5,494.0,686.0,285.0,502.5,137.0,2252.5,0,0,0,0,0,0,10.5,21.5,32,6.0,10.0,4.5,11.5,4.5,16.5,6525.0,135366.0,Rose Garden Arena,66.296875,71.6923076923077,170.23076923076923,24.923076923076923,1.0,0.0
83,1,SAC,WE,3,Y,L,,,Sacramento Monarchs,876.0,1993.0,449.0,650.0,142.0,459.0,388.0,650.0,1038.0,567.0,571.0,332.0,458.0,157.0,2343.0,811.0,1918.0,410.0,544.0,144.0,418.0,320.0,631.0,951.0,503.0,600.0,226.0,524.0,116.0,2176.0,0,0,0,0,0,0,21.0,11.0,32,13.0,3.0,8.0,8.0,13.0,8.0,6400.0,126841.0,ARCO Arena (II),73.21875,71.16666666666667,162.25,26.5,0.0,0.0
84,2,SAC,WE,2,Y,W,L,,Sacramento Monarchs,876.0,1993.0,449.0,650.0,142.0,459.0,388.0,650.0,1038.0,567.0,571.0,332.0,458.0,157.0,2343.0,811.0,1918.0,410.0,544.0,144.0,418.0,320.0,631.0,951.0,503.0,600.0,226.0,524.0,116.0,2176.0,0,0,0,0,0,0,21.0,11.0,32,13.0,3.0,8.0,8.0,13.0,8.0,6400.0,126841.0,ARCO Arena (II),73.21875,71.76923076923077,162.92307692307693,26.23076923076923,0.0,2.0
85,3,SAC,WE,6,N,,,,Sacramento Monarchs,856.5,1983.5,453.0,634.0,152.5,441.0,381.0,686.5,1067.5,562.5,579.5,304.0,476.0,157.5,2318.5,807.5,1960.5,412.5,561.0,130.0,409.0,331.5,646.5,978.0,499.5,608.0,243.5,502.5,129.5,2157.5,0,0,0,0,0,0,20.5,11.5,32,12.5,3.5,8.0,8.0,13.0,8.0,6462.5,130222.0,ARCO Arena (II),72.453125,72.64285714285714,165.85714285714286,28.571428571428573,0.0,3.0
86,4,SAC,WE,3,Y,W,L,,Sacramento Monarchs,808.5,1959.5,475.5,635.5,137.5,409.0,337.5,685.5,1023.0,529.0,631.5,261.5,475.0,133.5,2230.0,809.5,1973.5,465.0,629.5,132.5,426.5,347.5,692.5,1040.0,494.5,624.5,247.0,488.5,135.5,2216.5,0,0,0,0,0,0,17.0,15.0,32,11.0,5.0,6.0,10.0,10.5,10.5,6550.0,138891.0,ARCO Arena (II),69.6875,72.63636363636364,164.36363636363637,27.454545454545453,0.0,1.0
87,5,SAC,WE,4,Y,W,L,,Sacramento Monarchs,821.0,2026.0,459.5,639.5,131.0,434.0,325.0,683.0,1008.0,534.0,658.0,272.0,458.5,115.5,2232.5,815.5,1967.5,475.0,639.0,149.0,460.0,348.5,737.0,1085.5,504.5,636.5,228.5,536.0,134.5,2255.0,0,0,0,0,0,0,16.5,16.5,33,11.0,5.5,5.5,11.0,10.5,12.0,6700.0,149878.5,ARCO Arena (II),67.65257352941177,72.5,165.58333333333334,27.25,1.0,2.0
88,6,SAC,WE,1,Y,W,W,W,Sacramento Monarchs,868.0,2089.5,430.0,615.0,139.5,419.0,369.0,676.5,1045.5,543.5,641.0,305.5,473.0,120.0,2305.5,809.5,1931.5,454.5,614.0,155.0,462.5,327.5,713.5,1041.0,514.5,643.0,232.5,584.5,129.0,2228.5,0,0,0,0,0,0,18.5,15.5,34,11.0,6.0,7.5,9.5,12.5,10.5,6862.5,151561.0,ARCO Arena (II),67.80882352941177,72.5,163.91666666666666,25.083333333333332,0.0,3.0
89,7,SAC,WE,2,Y,W,W,L,Sacramento Monarchs,863.5,2029.0,464.5,662.5,129.0,362.5,379.0,654.5,1033.5,523.0,662.5,309.0,492.5,113.0,2320.5,777.0,1847.5,476.0,642.0,137.0,417.0,291.5,685.0,976.5,488.0,684.5,238.0,607.5,124.5,2167.0,0,0,0,0,0,0,21.5,12.5,34,12.5,4.5,9.0,8.0,14.5,7.5,6850.0,146378.5,ARCO Arena (II),68.25,72.9,166.6,25.5,1.0,3.0
90,8,SAC,WE,3,Y,L,,,Sacramento Monarchs,886.0,2088.0,518.0,731.0,143.0,410.5,393.5,697.0,1090.5,518.0,677.0,317.0,521.0,98.0,2433.0,811.5,1922.0,491.0,657.0,134.5,441.5,283.5,709.5,993.0,485.0,705.0,239.5,627.5,137.5,2248.5,0,0,0,0,0,0,23.0,11.0,34,14.5,2.5,8.5,8.5,13.5,7.5,6837.5,146476.0,ARCO Arena (II),71.55882352941177,73.0,166.83333333333334,26.25,3.0,3.0
91,4,SAS,WE,6,N,,,,San Antonio Silver Stars,792.0,2068.0,538.0,736.0,93.0,315.0,350.0,795.0,1145.0,428.0,728.0,187.0,513.0,167.0,2215.0,867.0,2176.0,544.0,745.0,149.0,482.0,389.0,783.0,1172.0,530.0,669.0,275.0,424.0,140.0,2427.0,0,0,0,0,0,0,12.0,22.0,34,9.0,8.0,3.0,14.0,10.0,14.0,6825.0,176526.0,AT&T Center,65.1470588235294,71.7,168.6,26.6,0.0,0.0
92,5,SAS,WE,7,N,,,,San Antonio Silver Stars,792.0,2068.0,538.0,736.0,93.0,315.0,350.0,795.0,1145.0,428.0,728.0,187.0,513.0,167.0,2215.0,867.0,2176.0,544.0,745.0,149.0,482.0,389.0,783.0,1172.0,530.0,669.0,275.0,424.0,140.0,2427.0,0,0,0,0,0,0,12.0,22.0,34,9.0,8.0,3.0,14.0,10.0,14.0,6825.0,176526.0,AT&T Center,65.1470588235294,72.35714285714286,165.57142857142858,24.928571428571427,0.0,0.0
93,6,SAS,WE,7,N,,,,San Antonio Silver Stars,802.0,2004.0,513.0,682.0,86.0,281.0,326.0,748.0,1074.0,460.5,678.0,229.5,513.0,136.5,2203.0,877.5,2089.5,480.0,654.5,160.5,475.5,356.5,746.5,1103.0,552.5,646.5,277.5,458.0,134.5,2395.5,0,0,0,0,0,0,10.5,23.5,34,7.5,9.5,3.0,14.0,8.0,15.0,6850.0,159621.5,AT&T Center,64.79411764705881,71.91666666666667,164.41666666666666,26.166666666666668,2.0,0.0
